State,Year,Station,Men,Women,MenN,WomenN
HID,2010,winter,0,0,0.0,0.0
HID,2011,fall,0,0,0.0,0.0
HID,2011,spring,0,0,0.0,0.0
HID,2011,summer,3,4,2.33422708295e-06,2.8989792694e-06
HID,2011,winter,0,0,0.0,0.0
HID,2012,fall,0,0,0.0,0.0
HID,2012,spring,-1,0,-7.78075694316e-07,0.0
HID,2012,summer,0,1,0.0,7.2474481735e-07
HID,2012,winter,0,0,0.0,0.0
HID,2013,fall,-9,0,-7.00268124884e-06,0.0
HID,2013,spring,0,0,0.0,0.0
HID,2013,summer,3,4,2.33422708295e-06,2.8989792694e-06
HID,2013,winter,0,0,0.0,0.0
HID,2014,fall,-1,0,-7.78075694316e-07,0.0
HID,2014,spring,0,0,0.0,0.0
HID,2014,summer,-2,-4,-1.5561513886299999e-06,-2.8989792694e-06
HID,2014,winter,0,0,0.0,0.0
HID,2015,fall,0,0,0.0,0.0
HID,2015,spring,0,0,0.0,0.0
HID,2015,summer,0,0,0.0,0.0
HID,2015,winter,0,0,0.0,0.0
HID,2016,spring,0,0,0.0,0.0
HID,2016,winter,0,0,0.0,0.0
JAL,2008,fall,-7,-502,-1.94409828694e-06,-0.000133865203074
JAL,2008,spring,0,0,0.0,0.0
JAL,2008,summer,0,0,0.0,0.0
JAL,2008,winter,0,0,0.0,0.0
JAL,2009,fall,-121,20,-3.36051275315e-05,5.33327502286e-06
JAL,2009,spring,0,0,0.0,0.0
JAL,2009,summer,3,6,8.331849801189999e-07,1.59998250686e-06
JAL,2009,winter,0,0,0.0,0.0
JAL,2010,fall,0,0,0.0,0.0
JAL,2010,spring,2,2,5.55456653413e-07,5.33327502286e-07
JAL,2010,summer,5,3,1.38864163353e-06,7.99991253429e-07
JAL,2010,winter,0,0,0.0,0.0
JAL,2011,fall,25,28,6.943208167660001e-06,7.4665850320000006e-06
JAL,2011,spring,1,2,2.77728326706e-07,5.33327502286e-07
JAL,2011,summer,10,13,2.77728326706e-06,3.46662876486e-06
JAL,2011,winter,0,0,0.0,0.0
JAL,2012,fall,0,0,0.0,0.0
JAL,2012,spring,0,0,0.0,0.0
JAL,2012,summer,-1,0,-2.77728326706e-07,0.0
JAL,2012,winter,0,0,0.0,0.0
